DGRP	sex	value
DGRP_021	F	14
DGRP_021	F	31
DGRP_021	M	10
DGRP_021	M	14
DGRP_021	M	14
DGRP_021	F	10
DGRP_021	F	24
DGRP_021	F	31
DGRP_021	M	19
DGRP_021	M	24
DGRP_021	M	38
DGRP_021	F	27
DGRP_021	F	31
DGRP_021	F	31
DGRP_021	M	21
DGRP_021	M	24
DGRP_021	F	24
DGRP_021	F	31
DGRP_021	F	32
DGRP_021	M	19
DGRP_021	M	24
DGRP_021	M	24
DGRP_021	F	26
DGRP_021	F	31
DGRP_021	F	31
DGRP_021	M	24
DGRP_021	M	24
DGRP_021	F	19
DGRP_021	F	32
DGRP_021	F	40
DGRP_021	M	21
DGRP_021	M	21
DGRP_021	M	21
DGRP_021	F	24
DGRP_021	F	31
DGRP_021	F	33
DGRP_021	M	14
DGRP_021	M	20
DGRP_021	F	31
DGRP_021	F	32
DGRP_021	F	38
DGRP_021	M	24
DGRP_021	M	25
DGRP_021	M	35
DGRP_021	F	14
DGRP_021	F	31
DGRP_021	F	40
DGRP_021	M	17
DGRP_021	M	21
DGRP_021	M	21
DGRP_021	F	31
DGRP_021	F	33
DGRP_021	F	38
DGRP_021	M	7
DGRP_021	M	18
DGRP_021	M	24
DGRP_021	F	10
DGRP_021	F	21
DGRP_021	F	31
DGRP_021	M	28
DGRP_021	M	28
DGRP_021	F	20
DGRP_021	F	24
DGRP_021	F	38
DGRP_021	M	12
DGRP_021	M	19
DGRP_021	F	17
DGRP_021	F	14
DGRP_021	F	14
DGRP_021	M	17
DGRP_021	M	14
DGRP_021	M	7
DGRP_021	F	26
DGRP_021	F	14
DGRP_021	F	14
DGRP_021	M	32
DGRP_021	M	17
DGRP_021	M	14
DGRP_021	F	35
DGRP_021	F	32
DGRP_021	F	32
DGRP_021	M	28
DGRP_021	M	28
DGRP_021	M	14
DGRP_021	F	35
DGRP_021	F	32
DGRP_021	F	17
DGRP_021	M	32
DGRP_021	M	14
DGRP_021	F	33
DGRP_021	F	24
DGRP_021	F	14
DGRP_021	M	14
DGRP_021	M	14
DGRP_021	M	14
DGRP_021	F	32
DGRP_021	F	32
DGRP_021	F	28
DGRP_021	M	20
DGRP_021	M	14
DGRP_021	M	14
DGRP_021	F	32
DGRP_021	F	14
DGRP_021	M	32
DGRP_021	M	24
DGRP_021	M	17
DGRP_021	F	32
DGRP_021	F	32
DGRP_021	F	32
DGRP_021	M	17
DGRP_021	M	17
DGRP_021	M	17
DGRP_021	F	32
DGRP_021	F	17
DGRP_021	F	14
DGRP_021	M	17
DGRP_021	M	17
DGRP_021	M	14
DGRP_021	F	38
DGRP_021	F	19
DGRP_021	F	14
DGRP_021	M	18
DGRP_021	M	14
DGRP_021	M	14
DGRP_021	F	35
DGRP_021	F	24
DGRP_021	F	19
DGRP_021	M	14
DGRP_021	M	14
DGRP_021	M	10
DGRP_021	F	21
DGRP_021	F	14
DGRP_021	F	7
DGRP_021	M	34
DGRP_021	M	14
DGRP_021	M	7
DGRP_026	F	26
DGRP_026	F	28
DGRP_026	M	26
DGRP_026	M	28
DGRP_026	M	31
DGRP_026	F	24
DGRP_026	F	25
DGRP_026	F	28
DGRP_026	M	24
DGRP_026	M	26
