DGRP	sex	value
DGRP_642	F	16.73
DGRP_642	M	16.378
DGRP_646	F	22.59
DGRP_646	M	22.531
DGRP_069	F	9.87
DGRP_069	M	11.809
DGRP_703	F	21.375
DGRP_703	M	21.293
DGRP_705	F	24.0
DGRP_705	M	18.816
DGRP_707	F	18.739
DGRP_707	M	23.0
DGRP_712	F	14.765
DGRP_712	M	14.895
DGRP_714	F	16.257
DGRP_714	M	16.368
DGRP_716	F	16.102
DGRP_716	M	14.857
DGRP_721	F	17.663
DGRP_721	M	17.332
DGRP_727	F	29.621
DGRP_727	M	37.079
DGRP_073	F	33.818
DGRP_073	M	24.771
DGRP_730	F	13.828
DGRP_730	M	17.51
DGRP_732	F	14.485
DGRP_732	M	17.0
DGRP_737	F	13.989
DGRP_737	M	12.592
DGRP_738	F	14.49
DGRP_738	M	21.02
DGRP_748	F	14.602
DGRP_748	M	18.897
DGRP_075	F	24.061
DGRP_075	M	23.073
DGRP_757	F	16.068
DGRP_757	M	16.449
DGRP_761	F	15.297
DGRP_761	M	17.196
DGRP_765	F	17.694
DGRP_765	M	15.357
DGRP_774	F	13.695
DGRP_774	M	13.268
DGRP_776	F	21.206
DGRP_776	M	20.703
DGRP_783	F	15.577
DGRP_783	M	16.69
DGRP_786	F	18.231
DGRP_786	M	17.817
DGRP_787	F	23.816
DGRP_787	M	15.429
DGRP_790	F	28.196
DGRP_790	M	27.77
DGRP_796	F	20.634
DGRP_796	M	19.118
DGRP_799	F	21.24
DGRP_799	M	23.571
DGRP_801	F	14.363
DGRP_801	M	15.889
DGRP_802	F	12.058
DGRP_802	M	14.03
DGRP_804	F	24.284
DGRP_804	M	23.563
DGRP_805	F	14.667
DGRP_805	M	13.381
DGRP_808	F	13.212
DGRP_808	M	20.62
DGRP_810	F	10.735
DGRP_810	M	11.65
DGRP_812	F	19.5
DGRP_812	M	25.73
DGRP_818	F	26.429
DGRP_818	M	15.58
DGRP_819	F	12.843
DGRP_819	M	13.897
DGRP_820	F	14.582
DGRP_820	M	12.072
DGRP_821	F	29.215
DGRP_821	M	30.222
DGRP_822	F	20.214
DGRP_822	M	19.76
DGRP_083	F	18.897
DGRP_083	M	19.706
DGRP_832	F	17.03
DGRP_832	M	20.089
DGRP_837	F	19.12
DGRP_837	M	21.272
DGRP_843	F	25.833
DGRP_843	M	27.36
DGRP_849	F	14.311
DGRP_849	M	12.755
DGRP_085	F	10.471
DGRP_085	M	13.614
DGRP_850	F	21.8
DGRP_850	M	20.288
DGRP_852	F	13.396
DGRP_852	M	13.296
DGRP_853	F	15.446
DGRP_853	M	18.08
DGRP_855	F	20.238
DGRP_855	M	23.297
DGRP_857	F	12.096
DGRP_857	M	14.974
DGRP_859	F	13.71
DGRP_859	M	14.653
DGRP_861	F	36.49
DGRP_861	M	36.873
DGRP_882	F	35.155
DGRP_882	M	32.079
DGRP_884	F	26.042
DGRP_884	M	22.931
DGRP_890	F	20.62
DGRP_890	M	19.53
DGRP_892	F	25.032
DGRP_892	M	24.126
DGRP_894	F	15.029
DGRP_894	M	15.02
DGRP_897	F	37.384
DGRP_897	M	27.157
DGRP_900	F	33.189
DGRP_900	M	23.515
DGRP_907	F	22.695
DGRP_907	M	25.33
DGRP_908	F	21.396
DGRP_908	M	26.451
DGRP_091	F	13.387
DGRP_091	M	13.115
DGRP_911	F	13.351
DGRP_911	M	14.466
DGRP_913	F	13.618
DGRP_913	M	17.76
DGRP_093	F	12.435
DGRP_093	M	15.34
