"sensitive"
"DGRP229"
"DGRP390"
"DGRP380"
"DGRP897"
"DGRP761"
"DGRP348"
"DGRP365"
"DGRP730"
"DGRP21"
"DGRP911"
"DGRP857"
"DGRP757"
"DGRP386"
"DGRP324"
"DGRP392"
"DGRP32"
"DGRP513"
"DGRP358"
"DGRP563"
"DGRP774"
"DGRP850"
"DGRP908"
