"resistant"
"DGRP716"
"DGRP75"
"DGRP443"
"DGRP843"
"DGRP304"
"DGRP93"
"DGRP855"
"DGRP320"
"DGRP517"
"DGRP821"
"DGRP189"
"DGRP705"
"DGRP136"
"DGRP217"
"DGRP287"
"DGRP820"
"DGRP379"
"DGRP441"
"DGRP362"
"DGRP859"
"DGRP890"
"DGRP509"
