wns
1750
1742
1714
1722
1148
1746
2888
3332
1692
1584
3632
3462
1754
1738
1156
2978
1710
1596
2904
1464
1552
3270
1184
3362
1602
1718
1600
1792
2916
952
1118
3474
1704
1160
990
3420
3666
3604
1384
1756
1760
2466
1842
1476
1996
3774
940
2434
2322
3344
1434
1568
3398
3640
1280
3008
1726
1564
3578
2412
1294
3890
614
1002
2782
2766
3012
3682
1576
1560
3658
3424
3112
3574
3524
540
2292
984
856
2312
1964
2820
2650
2358
1396
1776
2524
3608
1206
1152
2920
2804
1606
3590
1696
1630
2450
1850
1572
1660
3558
2966
1768
3602
3894
1402
2946
2222
3504
3494
1022
2992
2962
2372
3366
2030
1014
2018
1654
2366
1868
3274
2238
2770
460
1580
